Frame 0: I, Time: 0.00s
Frame 1: P, Time: 0.04s
Frame 2: P, Time: 0.08s
Frame 3: P, Time: 0.12s
Frame 4: P, Time: 0.16s
Frame 5: P, Time: 0.20s
Frame 6: P, Time: 0.24s
Frame 7: P, Time: 0.28s
Frame 8: P, Time: 0.32s
Frame 9: P, Time: 0.36s
Frame 10: P, Time: 0.40s
Frame 11: P, Time: 0.44s
Frame 12: P, Time: 0.48s
Frame 13: P, Time: 0.52s
Frame 14: P, Time: 0.56s
Frame 15: P, Time: 0.60s
Frame 16: P, Time: 0.64s
Frame 17: P, Time: 0.68s
Frame 18: P, Time: 0.72s
Frame 19: P, Time: 0.76s
Frame 20: P, Time: 0.80s
Frame 21: P, Time: 0.84s
Frame 22: P, Time: 0.88s
Frame 23: P, Time: 0.92s
Frame 24: I, Time: 0.96s
Frame 25: P, Time: 1.00s
Frame 26: P, Time: 1.04s
Frame 27: P, Time: 1.08s
Frame 28: P, Time: 1.12s
Frame 29: P, Time: 1.16s
Frame 30: P, Time: 1.20s
Frame 31: P, Time: 1.24s
Frame 32: P, Time: 1.28s
Frame 33: P, Time: 1.32s
Frame 34: P, Time: 1.36s
Frame 35: P, Time: 1.40s
Frame 36: P, Time: 1.44s
Frame 37: P, Time: 1.48s
Frame 38: P, Time: 1.52s
Frame 39: P, Time: 1.56s
Frame 40: P, Time: 1.60s
Frame 41: P, Time: 1.64s
Frame 42: P, Time: 1.68s
Frame 43: P, Time: 1.72s
Frame 44: P, Time: 1.76s
Frame 45: P, Time: 1.80s
Frame 46: P, Time: 1.84s
Frame 47: P, Time: 1.88s
Frame 48: P, Time: 1.92s
Frame 49: P, Time: 1.96s
Frame 50: P, Time: 2.00s
Frame 51: P, Time: 2.04s
Frame 52: P, Time: 2.08s
Frame 53: P, Time: 2.12s
Frame 54: P, Time: 2.16s
Frame 55: P, Time: 2.20s
Frame 56: P, Time: 2.24s
Frame 57: P, Time: 2.28s
Frame 58: P, Time: 2.32s
Frame 59: P, Time: 2.36s
Frame 60: P, Time: 2.40s
Frame 61: P, Time: 2.44s
Frame 62: P, Time: 2.48s
Frame 63: P, Time: 2.52s
Frame 64: P, Time: 2.56s
Frame 65: P, Time: 2.60s
Frame 66: P, Time: 2.64s
Frame 67: P, Time: 2.68s
Frame 68: I, Time: 2.72s
Frame 69: P, Time: 2.76s
Frame 70: P, Time: 2.80s
Frame 71: P, Time: 2.84s
Frame 72: P, Time: 2.88s
Frame 73: P, Time: 2.92s
Frame 74: P, Time: 2.96s
Frame 75: P, Time: 3.00s
Frame 76: P, Time: 3.04s
Frame 77: P, Time: 3.08s
Frame 78: P, Time: 3.12s
Frame 79: P, Time: 3.16s
Frame 80: P, Time: 3.20s
Frame 81: P, Time: 3.24s
Frame 82: P, Time: 3.28s
Frame 83: P, Time: 3.32s
Frame 84: P, Time: 3.36s
Frame 85: P, Time: 3.40s
Frame 86: P, Time: 3.44s
Frame 87: P, Time: 3.48s
Frame 88: P, Time: 3.52s
Frame 89: P, Time: 3.56s
Frame 90: P, Time: 3.60s
Frame 91: P, Time: 3.64s
Frame 92: P, Time: 3.68s
Frame 93: P, Time: 3.72s
Frame 94: P, Time: 3.76s
Frame 95: P, Time: 3.80s
Frame 96: P, Time: 3.84s
Frame 97: P, Time: 3.88s
Frame 98: P, Time: 3.92s
Frame 99: P, Time: 3.96s
Frame 100: P, Time: 4.00s
Frame 101: P, Time: 4.04s
Frame 102: P, Time: 4.08s
Frame 103: P, Time: 4.12s
Frame 104: P, Time: 4.16s
Frame 105: P, Time: 4.20s
Frame 106: P, Time: 4.24s
Frame 107: P, Time: 4.28s
Frame 108: P, Time: 4.32s
Frame 109: P, Time: 4.36s
Frame 110: P, Time: 4.40s
Frame 111: P, Time: 4.44s
Frame 112: P, Time: 4.48s
Frame 113: P, Time: 4.52s
Frame 114: P, Time: 4.56s
Frame 115: I, Time: 4.60s
Frame 116: P, Time: 4.64s
Frame 117: P, Time: 4.68s
Frame 118: P, Time: 4.72s
Frame 119: P, Time: 4.76s
Frame 120: P, Time: 4.80s
Frame 121: P, Time: 4.84s
Frame 122: P, Time: 4.88s
Frame 123: P, Time: 4.92s
Frame 124: P, Time: 4.96s
Frame 125: P, Time: 5.00s
Frame 126: P, Time: 5.04s
Frame 127: P, Time: 5.08s
Frame 128: P, Time: 5.12s
Frame 129: P, Time: 5.16s
Frame 130: P, Time: 5.20s
Frame 131: P, Time: 5.24s
Frame 132: P, Time: 5.28s
Frame 133: P, Time: 5.32s
Frame 134: P, Time: 5.36s
Frame 135: P, Time: 5.40s
Frame 136: P, Time: 5.44s
Frame 137: P, Time: 5.48s
Frame 138: P, Time: 5.52s
Frame 139: P, Time: 5.56s
Frame 140: P, Time: 5.60s
Frame 141: P, Time: 5.64s
Frame 142: P, Time: 5.68s
Frame 143: P, Time: 5.72s
Frame 144: P, Time: 5.76s
Frame 145: P, Time: 5.80s
Frame 146: P, Time: 5.84s
Frame 147: P, Time: 5.88s
Frame 148: P, Time: 5.92s
Frame 149: P, Time: 5.96s
Frame 150: P, Time: 6.00s
Frame 151: P, Time: 6.04s
Frame 152: P, Time: 6.08s
Frame 153: P, Time: 6.12s
Frame 154: P, Time: 6.16s
Frame 155: P, Time: 6.20s
Frame 156: P, Time: 6.24s
Frame 157: P, Time: 6.28s
Frame 158: P, Time: 6.32s
Frame 159: P, Time: 6.36s
Frame 160: P, Time: 6.40s
Frame 161: P, Time: 6.44s
Frame 162: P, Time: 6.48s
Frame 163: P, Time: 6.52s
Frame 164: P, Time: 6.56s
Frame 165: P, Time: 6.60s
Frame 166: I, Time: 6.64s
Frame 167: P, Time: 6.68s
Frame 168: P, Time: 6.72s
Frame 169: P, Time: 6.76s
Frame 170: P, Time: 6.80s
Frame 171: P, Time: 6.84s
Frame 172: P, Time: 6.88s
Frame 173: P, Time: 6.92s
Frame 174: P, Time: 6.96s
Frame 175: P, Time: 7.00s
Frame 176: P, Time: 7.04s
Frame 177: P, Time: 7.08s
Frame 178: P, Time: 7.12s
Frame 179: P, Time: 7.16s
Frame 180: P, Time: 7.20s
Frame 181: P, Time: 7.24s
Frame 182: P, Time: 7.28s
Frame 183: P, Time: 7.32s
Frame 184: P, Time: 7.36s
Frame 185: P, Time: 7.40s
Frame 186: P, Time: 7.44s
Frame 187: P, Time: 7.48s
